# EventNumber	SB0_Raw_ADC_Value	Timestamp
2471	1052	818518505
2473	1716	819423359
2474	1689	819612690
2478	1730	820489758
2482	1691	822630928
2490	1747	824623808
2518	1672	832304691
2519	1729	832346448
2522	1778	832680908
2529	1714	834748744
2531	1691	835091267
2534	1738	836355883
2537	1718	838716086
2549	1726	840969458
2555	1733	842692562
2559	1711	844728131
2560	1691	845267028
2572	1690	850493270
2576	1714	851067586
2583	1745	853012793
2585	1699	853772318
2588	1721	854959548
2611	1755	865651066
2613	1672	866453952
2615	1763	866488615
2626	1770	870694207
2631	1688	872631343
2636	1729	873461977
2646	1753	876132081
2647	1724	876274689
2648	1688	876331506
2653	1730	879349207
2655	1708	880016983
2659	1729	881397682
2674	1689	886681426
2720	1755	907408303
2730	1728	911285364
2737	1745	913284441
2741	1698	914064866
2742	1731	914240080
2751	1726	916067714
2757	1705	918106790
2772	1670	924005935
2775	1736	924845522
2776	1764	925060610
2782	1685	926686391
2786	1709	927525342
2790	1725	928523842
2795	1708	929893871
2826	1715	942427752
2845	1711	948378568
2865	1405	954321537
2882	1678	957408183
2889	1754	960736104
2893	1671	962141781
2898	1718	963543818
2903	1758	964943713
2907	1684	965869107
2914	1704	968054545
2917	1673	969290541
2924	1684	970693367
2931	1719	972766702
2933	1755	973489214
2937	1670	974881773
2940	1719	977159734
2947	1739	978836548
2949	1739	978971797
2957	1711	982923523
2964	1760	984215115
2970	1733	986797567
2976	1642	988868169
2982	1707	990856161
2992	1725	992895191
2997	1713	994785236
2999	1696	995279343
3034	1685	1006559859
3037	1719	1008007948
3040	1670	1008763148
3042	1692	1009320956
3046	1687	1009772267
3067	1718	1015798829
3070	1735	1017033085
3078	872	1019015048
3085	1723	1021264839
3086	1709	1023225539
3091	1440	1025074088
3094	1725	1025244484
3102	1668	1027118375
3114	1698	1031114093
3117	1706	1032512626
3128	1106	1035042768
3134	1709	1035918909
3144	1717	1039162204
3146	1729	1039255874
3153	1760	1043496808
3169	1772	1046926485
3173	1744	1047220691
3181	1684	1050107320
3189	1706	1057558332
3202	1726	1060254261
3253	1743	1076285143
3255	1718	1076851535
3259	1673	1077837037
3265	1721	1079217992
3279	1739	1085278889
3280	1738	1085432504
3281	1707	1085651653
3286	1746	1087782888
3303	1713	1092867926
3311	1685	1096527493
3328	1749	1104306436
3348	1755	1108192497
3357	1718	1112335284
3358	1702	1112686965
3359	1754	1112901261
3361	1707	1113704364
3362	1793	1114165629
3363	1716	1114172210
3382	1728	1118103653
3402	1718	1123968336
3410	1694	1126918600
3420	1701	1128891383
3421	1722	1130382824
3438	1701	1135225726
3445	1749	1136785776
3449	1704	1138557991
3467	1724	1144869555
